Validating models...

0 errors found
April 03, 2014 - 23:08:03
Django version 1.6.2, using settings 'iD_django.settings'
Starting development server at http://0.0.0.0:8081/
Quit the server with CONTROL-C.
[03/Apr/2014 23:10:37] "GET /static/dist/img/sprite.svg HTTP/1.1" 304 0
[03/Apr/2014 23:10:43] "GET /api/capabilities HTTP/1.1" 200 655
[03/Apr/2014 23:10:49] "GET /static/index.html HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/css/reset.css HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/css/app.css HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/css/map.css HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/lodash.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/css/feature-icons.css HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.v3.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/osmauth.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/jxon.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.size.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.combobox.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.typeahead.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.geo.tile.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.trigger.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.curtain.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.jsonp.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.keybinding.js HTTP/1.1" 304 0
[03/Apr/2014 23:10:50] "GET /static/js/lib/d3.one.js HTTP/1.1" 304 0
